Description;ASSETNUM;LOCATION;facteur;valeur;pourcentage;action_recommandee;action_secondaire;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
problème tension;1001;BR300;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;5;5.28;non;bonne;trimestrielle;0
usure mecanique;12600;SHIPPING;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;4;2.5;oui;faible;trimestrielle;8
turn western;11450;BR450;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;aucune;2;1.05;oui;faible;annuelle;20
défaut logiciel;11230;BOILER;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;1;2.36;non;bonne;trimestrielle;3
usure mécanique;12300;BR230;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;2;1.48;oui;faible;annuelle;18
fuite hydraulique;11430;BPM3100;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;6.05;oui;bonne;hebdomadaire;2
fuite hydraulique;13141;REPAIR;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;3;2.74;non;bonne;mensuelle;20
défaut logiciel;12700;BR210;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;4;7.4;non;bonne;mensuelle;7
défaut logiciel;11470;BR430;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;5;2.22;oui;bonne;trimestrielle;18
fuite hydraulique;13140;BR200;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;1.9;oui;moyenne;mensuelle;4
fuite hydraulique;11200;BR460;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;2.46;non;faible;mensuelle;7
défaut logiciel;11300;POLE300;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;2;2.98;oui;faible;hebdomadaire;13
fuite hydraulique;11460;OFF103;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;3.43;oui;faible;annuelle;15
fuite hydraulique;12210;BR400;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;5;5.98;oui;moyenne;annuelle;10
défaut logiciel;12100;PACKAGE;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;5;1.9;non;faible;mensuelle;14
défaut logiciel;13150;ECC210;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;3;1.8;non;moyenne;trimestrielle;19
panne pneumatique;13110;MOFLOOR1;"""	Pression du système""";>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;3;4.66;non;bonne;mensuelle;12
fuite hydraulique;13160;CENTRAL;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;7.65;oui;faible;trimestrielle;16
surchauffe moteur;13120;OFFICE;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;2;7.23;oui;moyenne;mensuelle;9
usure mécanique;52300;MH100;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;5;2.82;oui;bonne;mensuelle;18
problème tension;1002;NEEDHAM;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;5;2.84;non;bonne;hebdomadaire;12
panne pneumatique;1000;COMPLAB;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;2;2.05;oui;bonne;trimestrielle;17
fuite hydraulique;7111;BLK2000;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;4.13;non;moyenne;trimestrielle;6
surchauffe moteur;11210;SAN101;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;5;4.26;oui;faible;trimestrielle;5
fuite hydraulique;13145;BR431;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;4.41;non;faible;annuelle;15
usure mécanique;13143;CONF200;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;5;7.45;non;bonne;trimestrielle;1
surchauffe moteur;13170;FINALPKG;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;5;5.21;non;moyenne;annuelle;13
fuite hydraulique;12610;MARKING;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;2;7.06;non;bonne;trimestrielle;4
usure mécanique;12710;FIELDSTAFF;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;4;2.91;non;bonne;trimestrielle;10
vibration excessive;23972;COMP310;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;aucune;4;4.15;non;moyenne;mensuelle;5
fuite hydraulique;13180;MOFLOOR4;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;4.8;oui;moyenne;trimestrielle;14
fuite hydraulique;ASSET12345;L41BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;4.02;non;bonne;trimestrielle;3
défaut logiciel;ASSET1234;L1BI999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;4;2.43;oui;faible;annuelle;17
fuite hydraulique;ASSET123;L3BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;7.59;non;faible;mensuelle;2
