type_panne;facteur;valeur;pourcentage;Description;recommended_action;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
probleme tension;Tension d'alimentation;85 dB;40.0;;Verifier les connexions electriques;PB_ELEC;PB_ELEC;semi-solide;5;5.28;non;bonne;trimestrielle;0
usure mecanique;Charge appliquee;1500 RPM;100.0;;Remplacer la courroie;PB_MECA;PB_MECA;aucune;4;2.5;oui;faible;trimestrielle;8
turn western;Pression du systeme;>45°C;100.0;;Verifier l'etat des capteurs;DF_GEN;PB_GEN;aucune;2;1.05;oui;faible;annuelle;20
defaut logiciel;Version du firmware;85 dB;66.66;;Redemarrer le systeme;PB_LOG;PB_LOG;graisse;1;2.36;non;bonne;trimestrielle;3
usure mecanique;Pression du systeme;1500 RPM;100.0;;Remplacer la courroie;PB_MECA;PB_MECA;semi-solide;2;1.48;oui;faible;annuelle;18
fuite hydraulique;etat des joints;>45°C;100.0;;Identifier la source de la fuite;PB_HYD;PB_HYD;semi-solide;2;6.05;oui;bonne;hebdomadaire;2
fuite hydraulique;etat des joints;>45°C;100.0;;Identifier la source de la fuite;PB_HYD;PB_HYD;huile;3;2.74;non;bonne;mensuelle;20
defaut logiciel;Version du firmware;1500 RPM;100.0;;Redemarrer le systeme;PB_LOG;PB_LOG;aucune;4;7.4;non;bonne;mensuelle;7
defaut logiciel;CPU Usage;Humidite: 90% RH;50.0;;Redemarrer le systeme;PB_LOG;PB_LOG;semi-solide;5;2.22;oui;bonne;trimestrielle;18
fuite hydraulique;Type de fluide;1500 RPM;100.0;;Identifier la source de la fuite;PB_HYD;PB_HYD;graisse;3;1.9;oui;moyenne;mensuelle;4
fuite hydraulique;Pression du système;>45°C;100.0;;Identifier la source de la fuite;PB_HYD;PB_HYD;graisse;3;2.46;non;faible;mensuelle;7
defaut logiciel;Version du firmware;Humidite: 90% RH;100.0;;Redemarrer le systeme;PB_LOG;PB_LOG;huile;2;2.98;oui;faible;hebdomadaire;13
fuite hydraulique;Pression du système;1500 RPM;100.0;;Identifier la source de la fuite;PB_HYD;PB_HYD;aucune;4;3.43;oui;faible;annuelle;15
fuite hydraulique;Type de fluide;85 dB;100.0;;Identifier la source de la fuite;PB_HYD;PB_HYD;huile;5;5.98;oui;moyenne;annuelle;10
defaut logiciel;CPU Usage;85 dB;66.66;;Redemarrer le systeme;PB_LOG;PB_LOG;aucune;5;1.9;non;faible;mensuelle;14
defaut logiciel;Erreurs memoire;Humidite: 90% RH;100.0;;Redemarrer le systeme;PB_LOG;PB_LOG;aucune;3;1.8;non;moyenne;trimestrielle;19
