id;type_panne;machine;gravite;duree_heures;date;site
2;Defaillance capteur;Compresseur;Faible;29.98;27102023;PLC
3;Usure mecanique;Convoyeur;AlevAe;43.05;2022025;
6;Fuite hydraulique;Convoyeur;Moyenne;34.24;28102023;
7;Panne Alectrique;Compresseur;Faible;39.46;19102024;
10;Usure mAcanique;Pompe;Critique;38.09;20022025;
11;Surchauffe moteur;Compresseur;Moyenne;23.36;27052023;
12;Panne Alectrique;Convoyeur;Moyenne;9.13;16122023;
13;ProblAme de;Pompe;Moyenne;41.37;9122023;
15;DAfaut logiciel;Compresseur;AlevAe;26.04;29032025;
17;DAfaillance capteur;Convoyeur;AlevAe;10.0;28042024;
20;Usure mAcanique;Compresseur;AlevAe;18.6;29042023;PLC
23;Usure mAcanique;Convoyeur;AlevAe;22.03;1042024;
26;Surchauffe moteur;Pompe;Faible;29.81;16102023;PLC
27;Fuite hydraulique;Compresseur;Critique;25.34;9022025;
28;Usure mAcanique;Convoyeur;Moyenne;29.41;13102023;
32;DAfaut logiciel;Pompe;Moyenne;40.57;28062024;
33;DAfaillance capteur;Convoyeur;Critique;46.98;21032024;Inc
35;DAfaut logiciel;Pompe;Critique;15.85;15052024;Ltd
37;Panne pneumatique;Pompe;Critique;44.68;17032024;
40;ProblAme de;Pompe;AlevAe;30.16;18042025;
42;Panne Alectrique;Pompe;Critique;6.74;8092024;
43;Fuite hydraulique;Compresseur;Critique;35.26;23092023;
45;Surchauffe moteur;Convoyeur;Moyenne;47.37;28062024;Inc
48;Usure mAcanique;Compresseur;Critique;31.91;31102023;
52;DAfaut logiciel;Pompe;AlevAe;26.62;6092024;
56;ProblAme de;Pompe;Moyenne;6.63;27082024;
58;Usure mAcanique;Pompe;Faible;5.68;28122023;
61;Surchauffe moteur;Compresseur;Critique;13.77;16122024;Ltd
62;Panne Alectrique;Pompe;Moyenne;42.48;27102024;
Day;reveal maybe;Pompe;AlevAe;21.77;28052023;
74;Fuite hydraulique;Pompe;Moyenne;46.66;30112024;
75;Usure mAcanique;Pompe;Moyenne;11.82;15022025;Group
Cover;glass expect;Pompe;Critique;24.16;30032024;Inc
85;Usure mAcanique;Pompe;Moyenne;23.48;28072024;Group
86;Fuite hydraulique;Convoyeur;AlevAe;15.81;13062024;
87;Usure mAcanique;Pompe;Critique;18.24;5112023;Ltd
88;Surchauffe moteur;Pompe;Moyenne;42.78;2122024;LLC
94;Fuite hydraulique;Pompe;Moyenne;40.6;31052024;Group
95;Usure mAcanique;Compresseur;Faible;31.72;13082023;
96;DAfaut logiciel;Convoyeur;Moyenne;42.36;12062023;PLC
97;Fuite hydraulique;Convoyeur;Moyenne;7.69;28012025;
100;Fuite hydraulique;Convoyeur;AlevAe;28.6;13092024;Inc
103;Fuite hydraulique;Pompe;Moyenne;47.86;10042025;
107;Usure mAcanique;Pompe;Faible;20.83;8102024;
109;Panne Alectrique;Compresseur;Faible;24.85;28102023;
Expect;these serious;Pompe;Moyenne;11.71;29122024;
112;Fuite hydraulique;Pompe;Faible;20.76;31102024;Increase step develop
113;Fuite hydraulique;Convoyeur;Critique;3.23;20072024;
119;DAfaut logiciel;Pompe;AlevAe;39.85;15012025;Inc
120;Panne Alectrique;Compresseur;Critique;2.98;18052023;
125;Surchauffe moteur;Compresseur;Moyenne;4.31;23092023;
127;DAfaut logiciel;Compresseur;Faible;19.7;15102024;PLC
132;Usure mAcanique;Pompe;Faible;17.81;3042025;
135;Panne Alectrique;Convoyeur;Critique;22.43;14122024;Group
136;DAfaut logiciel;Compresseur;AlevAe;27.38;6042024;LLC
137;Panne pneumatique;Convoyeur;Critique;36.77;12072024;
140;Panne pneumatique;Convoyeur;AlevAe;9.99;10042025;PLC
141;DAfaillance capteur;Pompe;Moyenne;3.21;29042023;
149;Fuite hydraulique;Compresseur;AlevAe;19.14;12032025;
150;Panne pneumatique;Pompe;AlevAe;4.18;18032025;
151;Usure mAcanique;Pompe;Moyenne;37.31;25012024;LLC
155;Surchauffe moteur;Pompe;Critique;31.21;16012024;
157;Surchauffe moteur;Compresseur;Moyenne;24.91;28042024;
166;Fuite hydraulique;Compresseur;Moyenne;28.31;29082023;
170;DAfaillance capteur;Compresseur;Critique;16.87;28022024;
171;Usure mAcanique;Pompe;Critique;4.01;11062023;PLC
173;Panne pneumatique;Convoyeur;Critique;35.47;7052023;Inc
175;DAfaut logiciel;Pompe;AlevAe;24.07;24062024;Group
176;DAfaillance capteur;Convoyeur;Faible;34.84;10012024;
182;Fuite hydraulique;Compresseur;Moyenne;5.09;16102024;
184;Panne pneumatique;Compresseur;AlevAe;6.33;5032024;
188;Panne Alectrique;Pompe;AlevAe;47.54;8052023;
190;Panne pneumatique;Pompe;Critique;19.18;4012025;Ltd
193;DAfaut logiciel;Convoyeur;Moyenne;30.93;12052024;
Today;professional receive;Pompe;Moyenne;40.99;19112024;Group
198;Fuite hydraulique;Compresseur;AlevAe;4.87;1022025;
200;ProblAme de;Convoyeur;Critique;24.18;22062024;LLC
201;Surchauffe moteur;Compresseur;AlevAe;19.35;17122023;
202;Usure mAcanique;Compresseur;Critique;36.26;4042025;
206;ProblAme de;Pompe;AlevAe;29.34;27022025;
210;Panne pneumatique;Compresseur;Critique;46.13;30062024;
211;Fuite hydraulique;Compresseur;Faible;39.82;30072023;Inc
212;Usure mAcanique;Compresseur;Critique;0.67;3052023;
213;Panne pneumatique;Convoyeur;Moyenne;12.26;10102024;LLC
215;Panne Alectrique;Compresseur;Moyenne;35.46;2012024;Ltd
217;DAfaillance capteur;Pompe;Critique;37.16;7102024;
218;ProblAme de;Compresseur;Faible;36.87;17102024;
219;Panne Alectrique;Pompe;Faible;3.08;29122024;PLC
221;Surchauffe moteur;Pompe;Critique;41.31;29062024;
222;Fuite hydraulique;Convoyeur;Critique;47.59;16072024;
223;Panne pneumatique;Pompe;Moyenne;24.24;1032024;
224;DAfaillance capteur;Convoyeur;Moyenne;4.82;15032024;
232;ProblAme de;Convoyeur;Faible;15.88;16072024;
233;DAfaillance capteur;Pompe;Moyenne;46.89;4022024;LLC
Action;may writer;Convoyeur;AlevAe;6.29;2012025;
238;DAfaillance capteur;Pompe;Faible;26.71;6102024;
239;DAfaut logiciel;Pompe;Moyenne;9.24;27092023;PLC
240;Panne pneumatique;Convoyeur;AlevAe;26.21;14042024;Ltd
243;DAfaut logiciel;Compresseur;Critique;17.16;1032024;Group
245;Usure mAcanique;Pompe;Faible;42.64;10072024;
Eat;safe president;Pompe;Critique;10.64;3112024;
252;Usure mAcanique;Compresseur;AlevAe;14.22;1062023;
257;DAfaillance capteur;Compresseur;Moyenne;22.72;18022024;Ltd
260;DAfaut logiciel;Convoyeur;AlevAe;47.93;26012025;
262;Panne Alectrique;Pompe;Faible;14.3;10032024;
263;Fuite hydraulique;Pompe;Critique;30.88;6072023;LLC
266;DAfaut logiciel;Compresseur;Moyenne;36.43;3042025;Inc
268;Panne Alectrique;Compresseur;Faible;42.37;25052023;
269;Usure mAcanique;Pompe;Moyenne;32.99;23082024;
271;Fuite hydraulique;Convoyeur;AlevAe;25.76;7042024;Ltd
274;ProblAme de;Compresseur;Critique;22.71;20012025;
276;Panne Alectrique;Convoyeur;Moyenne;43.54;9012024;PLC
277;Panne Alectrique;Convoyeur;AlevAe;37.31;25072023;Inc
280;DAfaillance capteur;Compresseur;Faible;20.24;24082023;Ltd
281;Panne Alectrique;Compresseur;Critique;16.22;27022024;
283;Surchauffe moteur;Convoyeur;AlevAe;41.1;20072024;
Involve;among during;Convoyeur;Critique;44.19;22102023;
288;Usure mAcanique;Pompe;Critique;12.41;10022024;
291;Usure mAcanique;Convoyeur;Moyenne;33.02;12102023;
294;Panne Alectrique;Compresseur;AlevAe;32.19;24052023;
300;Surchauffe moteur;Pompe;Critique;13.24;2022024;LLC
303;Usure mAcanique;Convoyeur;Faible;29.35;19082024;
305;DAfaut logiciel;Pompe;Faible;23.61;27082024;
Poor;improve instead;Convoyeur;AlevAe;14.66;5052023;
311;Surchauffe moteur;Compresseur;AlevAe;32.94;7072024;
314;DAfaillance capteur;Pompe;Critique;27.92;12092024;
317;DAfaillance capteur;Pompe;Faible;15.98;13062023;
319;DAfaut logiciel;Convoyeur;Critique;39.38;27022025;
320;Panne Alectrique;Pompe;Moyenne;21.62;13042024;Inc
321;DAfaut logiciel;Convoyeur;AlevAe;23.01;22012024;PLC
322;DAfaillance capteur;Compresseur;Faible;16.81;24122024;
Organization;ever Republican;Convoyeur;Moyenne;39.71;1092024;
325;ProblAme de;Compresseur;Critique;44.46;2052024;
326;Surchauffe moteur;Compresseur;Faible;18.47;30042024;
335;Surchauffe moteur;Convoyeur;Faible;10.49;26042023;Group
339;Usure mAcanique;Compresseur;Faible;21.49;20062024;LLC
340;DAfaut logiciel;Convoyeur;Faible;5.15;27032024;
346;Usure mAcanique;Compresseur;Faible;10.75;26122023;
347;ProblAme de;Compresseur;Faible;27.91;31012024;
349;Surchauffe moteur;Compresseur;Critique;5.93;16022025;
350;Panne Alectrique;Pompe;AlevAe;37.61;7062024;
351;Panne pneumatique;Compresseur;Faible;7.39;29052023;
354;Panne Alectrique;Compresseur;AlevAe;9.84;30122023;
359;DAfaut logiciel;Compresseur;AlevAe;13.77;18102024;Inc
360;Panne Alectrique;Pompe;Faible;17.43;25022024;
363;Surchauffe moteur;Compresseur;Moyenne;10.64;8052024;
371;Panne pneumatique;Pompe;Faible;25.33;2042025;Include for Mr
373;ProblAme de;Compresseur;AlevAe;43.31;22032025;LLC
375;Panne pneumatique;Compresseur;Moyenne;47.17;1042024;
381;Fuite hydraulique;Pompe;AlevAe;46.28;29092023;
382;DAfaillance capteur;Convoyeur;Faible;31.72;25062024;
383;Usure mAcanique;Convoyeur;Critique;19.2;7072024;
385;DAfaut logiciel;Compresseur;Critique;41.81;4122024;
386;Usure mAcanique;Pompe;AlevAe;8.69;14102023;
387;DAfaut logiciel;Convoyeur;AlevAe;33.72;31102024;
389;Fuite hydraulique;Convoyeur;Moyenne;3.54;13122024;
396;DAfaut logiciel;Convoyeur;AlevAe;37.25;9092024;
397;Usure mAcanique;Pompe;Moyenne;10.43;8052023;
400;ProblAme de;Pompe;Moyenne;5.28;11082024;
403;Panne pneumatique;Pompe;Moyenne;10.44;7072024;
405;Fuite hydraulique;Convoyeur;Moyenne;40.47;31032025;
414;Panne Alectrique;Convoyeur;AlevAe;37.78;22042024;PLC
425;Fuite hydraulique;Compresseur;Faible;33.66;18012025;Including have popular
426;Panne pneumatique;Compresseur;Critique;20.11;3042025;
427;ProblAme de;Convoyeur;Faible;26.0;4102024;
428;Fuite hydraulique;Compresseur;Moyenne;40.63;17112024;
429;Fuite hydraulique;Convoyeur;Faible;10.25;24112024;
Account;summer culture;Convoyeur;Moyenne;25.76;13102024;LLC
432;ProblAme de;Compresseur;Faible;16.73;18072023;LLC
434;DAfaillance capteur;Pompe;Moyenne;15.12;19122024;
436;Panne Alectrique;Compresseur;Critique;28.84;10042024;
441;Panne pneumatique;Pompe;AlevAe;39.59;14032025;
443;DAfaillance capteur;Pompe;AlevAe;19.0;12112024;
447;Surchauffe moteur;Compresseur;AlevAe;10.58;15122023;Ltd
449;DAfaillance capteur;Compresseur;AlevAe;10.58;27032025;
451;ProblAme de;Convoyeur;AlevAe;20.31;26102024;
455;Panne pneumatique;Convoyeur;Critique;23.54;23102023;LLC
457;DAfaillance capteur;Pompe;Critique;15.62;23022024;
458;Fuite hydraulique;Pompe;AlevAe;6.17;27062023;
467;ProblAme de;Compresseur;Critique;22.08;30042024;
468;Surchauffe moteur;Compresseur;Critique;45.86;8072023;LLC
472;Usure mAcanique;Pompe;Faible;18.6;2112024;PLC
476;Panne pneumatique;Pompe;Faible;17.25;9062024;Inc
477;Panne Alectrique;Pompe;Moyenne;26.51;11012025;Group
479;DAfaillance capteur;Compresseur;Faible;4.66;7102024;
481;Panne pneumatique;Pompe;Critique;31.22;12072024;
482;DAfaut logiciel;Convoyeur;AlevAe;33.67;23012025;
487;ProblAme de;Pompe;Critique;31.67;21092024;
493;Panne pneumatique;Compresseur;Moyenne;40.09;5082023;
494;Panne Alectrique;Convoyeur;AlevAe;31.26;26082023;
496;Usure mAcanique;Convoyeur;Critique;14.54;2122023;
497;DAfaut logiciel;Convoyeur;AlevAe;38.69;24052023;
498;DAfaillance capteur;Compresseur;Moyenne;10.95;23052023;
499;DAfaut logiciel;Pompe;AlevAe;8.87;27042023;
500;Panne Alectrique;Pompe;AlevAe;33.71;10042024;Group
501;Panne Alectrique;Compresseur;Moyenne;13.27;20042025;Ltd
506;DAfaillance capteur;Compresseur;Faible;7.6;27062024;PLC
509;Panne pneumatique;Convoyeur;Critique;14.64;26032024;
511;DAfaillance capteur;Compresseur;Faible;37.3;17062024;Ltd
Listen;nothing rule;Compresseur;Critique;41.09;17022024;
524;Fuite hydraulique;Convoyeur;Moyenne;38.78;22052023;
525;Usure mAcanique;Pompe;Critique;16.18;8062024;
528;Surchauffe moteur;Convoyeur;Faible;47.84;28062024;
533;DAfaillance capteur;Pompe;AlevAe;36.45;7072023;
536;ProblAme de;Convoyeur;Moyenne;27.89;2022024;
542;ProblAme de;Pompe;Moyenne;5.36;14032024;
